platform,post_id,content_type,date_posted,likes,comments,shares,saves,retweets,clicks,views,impressions,reach,followers_at_time,demographic_segment,location,device_type,campaign_name,ad_spend,boosted,caption_text,hashtags,link_clicked,video_duration,engagement,engagement_rate,click_through_rate,conversion_rate
LinkedIn,POST00000,video,2024-01-01 00:00:00,54,12,7,4,2,21,4662,19599,17420,56765,18-24,UK,tablet,Summer Sale,186.13,True,Another treatment may.,"#employee, #note",False,26.7,73,0.0037246798306036022,0.0010714832389407624,0.0
Facebook,POST00001,reel,2024-01-01 01:00:00,44,15,6,3,2,33,7027,19016,16468,13998,35-44,Nigeria,tablet,Brand Awareness,196.33,True,Reveal sure see themselves result similar.,"#heavy, #join",False,143.9,65,0.0034181741691207404,0.0017353807320151452,0.0
Twitter,POST00002,reel,2024-01-01 02:00:00,51,11,2,2,4,23,2665,19583,710,41297,55+,India,tablet,New Product Launch,418.71,True,During very serve possible.,"#state, #management",True,134.9,64,0.0032681407343103713,0.0011744880763927897,0.043478260869565216
LinkedIn,POST00003,video,2024-01-01 03:00:00,61,15,2,5,2,23,4428,5195,5892,69809,35-44,UK,mobile,Brand Awareness,268.31,True,Action clear speech.,"#section, #over",False,15.3,78,0.015014436958614052,0.004427333974975939,0.0
LinkedIn,POST00004,image,2024-01-01 04:00:00,54,7,3,3,3,18,5234,3046,7837,57243,18-24,US,desktop,Summer Sale,293.82,False,Fund commercial set these century common protect.,"#movement, #always",False,83.2,64,0.021011162179908074,0.005909389363099146,0.0
Facebook,POST00005,image,2024-01-01 05:00:00,51,13,4,3,1,14,3712,1498,9996,99895,55+,US,tablet,Brand Awareness,148.41,False,True business site coach could job.,"#blood, #mean",False,70.8,68,0.04539385847797063,0.009345794392523364,0.0
Twitter,POST00006,reel,2024-01-01 06:00:00,46,7,2,3,4,11,9507,8148,735,97872,18-24,Nigeria,mobile,Summer Sale,241.49,True,Set pressure decade way bit eight.,"#human, #early",False,83.2,55,0.006750122729504173,0.0013500245459008345,0.0
Twitter,POST00007,image,2024-01-01 07:00:00,52,13,9,5,4,17,2893,3814,11555,96899,35-44,Nigeria,desktop,Brand Awareness,26.98,True,Collection summer light wife ready.,"#soon, #husband",True,83.0,74,0.019402202412165705,0.004457262716308337,0.058823529411764705
LinkedIn,POST00008,video,2024-01-01 08:00:00,55,15,7,5,3,21,6458,2563,8651,94523,45-54,US,mobile,New Product Launch,215.15,True,Big source than weight easy walk.,"#bank, #life",False,94.3,77,0.030042918454935622,0.008193523214982443,0.0
Instagram,POST00009,image,2024-01-01 09:00:00,37,10,8,6,7,26,2288,6387,11949,39297,25-34,Nigeria,mobile,New Product Launch,401.35,True,Deep state remember speak dream.,"#enjoy, #decide",True,49.9,55,0.008611241584468451,0.00407076874902145,0.038461538461538464
LinkedIn,POST00010,reel,2024-01-01 10:00:00,45,9,3,4,5,25,5687,10894,2495,47077,45-54,US,tablet,Holiday Promo,80.73,True,Around lot entire morning present school.,"#song, #through",True,84.5,57,0.005232237929135304,0.002294841196989168,0.04
LinkedIn,POST00011,video,2024-01-01 11:00:00,54,10,7,3,1,22,1194,6824,12644,81974,45-54,Germany,desktop,New Product Launch,382.24,True,Task address pass hold.,"#despite, #build",False,17.9,71,0.010404454865181711,0.003223915592028136,0.0
LinkedIn,POST00012,image,2024-01-01 12:00:00,35,7,3,6,7,19,5020,10903,3969,84944,18-24,US,desktop,Brand Awareness,187.11,False,Would now because Congress fear operation.,"#activity, #teacher",False,31.8,45,0.004127304411629827,0.0017426396404659269,0.0
LinkedIn,POST00013,text,2024-01-01 13:00:00,65,11,10,1,4,25,9315,11572,5906,31813,18-24,Germany,mobile,Summer Sale,13.53,True,Part smile with push reveal trial medical.,"#listen, #among",True,15.8,86,0.0074317317663325265,0.0021603871413757346,0.04
Facebook,POST00014,video,2024-01-01 14:00:00,54,6,4,3,5,19,7930,1015,4907,17139,25-34,India,tablet,Brand Awareness,476.6,False,Money stage matter news college course.,"#their, #bit",False,33.5,64,0.06305418719211822,0.0187192118226601,0.0
Twitter,POST00015,video,2024-01-01 15:00:00,43,10,7,1,4,17,2272,9741,7131,76902,45-54,India,mobile,Summer Sale,90.68,True,Perform maintain according hour class apply hard.,"#expect, #speak",True,0.8,60,0.006159531875577456,0.0017452006980802793,0.058823529411764705
Facebook,POST00016,text,2024-01-01 16:00:00,55,11,2,2,3,23,9172,19818,13234,3761,55+,India,tablet,Holiday Promo,167.38,True,Political mouth item available purpose behavior six.,"#form, #amount",True,6.8,68,0.003431224139671006,0.0011605611060651934,0.043478260869565216
Facebook,POST00017,text,2024-01-01 17:00:00,45,7,2,3,2,13,7524,9126,3165,94274,18-24,UK,tablet,Holiday Promo,240.36,True,Strong tonight green when.,"#sport, #very",True,143.4,54,0.005917159763313609,0.0014245014245014246,0.07692307692307693
Facebook,POST00018,video,2024-01-01 18:00:00,49,11,5,1,4,12,7220,5312,11341,10591,45-54,US,tablet,New Product Launch,474.72,False,Record leave reflect move deep word.,"#establish, #politics",True,35.8,65,0.01223644578313253,0.002259036144578313,0.08333333333333333
LinkedIn,POST00019,text,2024-01-01 19:00:00,37,11,10,5,3,30,963,18006,12692,50172,35-44,Germany,mobile,Holiday Promo,290.58,False,Kind car right.,"#opportunity, #identify",True,93.6,58,0.0032211485060535377,0.0016661112962345886,0.03333333333333333
Instagram,POST00020,reel,2024-01-01 20:00:00,40,12,6,2,3,20,6442,11389,11394,20510,18-24,Germany,mobile,Holiday Promo,452.67,True,Role born arm use help nation.,"#water, #exist",True,66.7,58,0.005092633242602511,0.0017560804284836246,0.05
Twitter,POST00021,reel,2024-01-01 21:00:00,55,13,4,3,4,18,1286,15749,9091,51063,25-34,Germany,tablet,New Product Launch,282.23,False,Family beautiful subject medical letter.,"#property, #meet",False,59.2,72,0.004571718839291384,0.001142929709822846,0.0
Instagram,POST00022,reel,2024-01-01 22:00:00,48,7,1,1,0,24,3697,5619,17869,92172,45-54,US,desktop,Brand Awareness,102.7,False,Kid place decide still usually.,"#training, #five",True,154.3,56,0.00996618615411995,0.004271222637479978,0.041666666666666664
Facebook,POST00023,video,2024-01-01 23:00:00,48,9,8,3,3,15,8475,13956,926,37780,18-24,India,tablet,Summer Sale,282.19,False,Responsibility religious story usually floor quality region time.,"#president, #company",False,87.5,65,0.004657494984236171,0.0010748065348237317,0.0
Facebook,POST00024,text,2024-01-02 00:00:00,43,13,5,2,2,15,1185,11832,1622,96317,25-34,UK,mobile,Summer Sale,50.22,True,Heart oil reason easy station see.,"#school, #late",True,93.0,61,0.0051555104800540905,0.0012677484787018255,0.06666666666666667
Instagram,POST00025,text,2024-01-02 01:00:00,45,11,3,2,5,22,1007,17169,8523,76046,25-34,US,mobile,Summer Sale,58.53,False,Head nation team share need especially.,"#better, #social",True,82.6,59,0.003436426116838488,0.0012813792300075718,0.045454545454545456
Instagram,POST00026,image,2024-01-02 02:00:00,52,7,4,4,1,27,5834,4178,8154,9872,35-44,UK,desktop,Brand Awareness,57.83,True,Consider check plan stuff.,"#between, #lay",False,48.4,63,0.01507898516036381,0.00646242221158449,0.0
Instagram,POST00027,image,2024-01-02 03:00:00,46,12,3,2,5,17,4337,18133,1692,7421,25-34,UK,desktop,Holiday Promo,6.13,False,Reveal contain mouth physical visit.,"#ball, #second",True,123.0,61,0.003364032427066674,0.0009375172337726796,0.058823529411764705
Facebook,POST00028,text,2024-01-02 04:00:00,52,7,3,5,5,27,5409,5214,7937,63000,18-24,UK,mobile,Summer Sale,75.64,False,Series guess current full term interesting seat.,"#or, #production",False,8.5,62,0.011891062523973917,0.005178365937859608,0.0
Facebook,POST00029,text,2024-01-02 05:00:00,53,8,4,2,4,18,8921,6678,1677,46008,18-24,US,mobile,Holiday Promo,176.49,False,Movement customer instead.,"#future, #skill",True,50.7,65,0.009733453129679544,0.0026954177897574125,0.05555555555555555
Twitter,POST00030,text,2024-01-02 06:00:00,44,8,4,3,2,26,4729,7483,15234,42616,55+,India,desktop,Holiday Promo,36.06,False,Step gas strong.,"#across, #pass",True,119.1,56,0.007483629560336763,0.0034745422958706402,0.038461538461538464
Twitter,POST00031,video,2024-01-02 07:00:00,54,12,5,2,3,25,724,8983,10850,21889,45-54,India,mobile,Holiday Promo,3.08,False,Low meeting perform hard reality yes example new.,"#performance, #science",False,6.0,71,0.007903818323499944,0.0027830346209506847,0.0
Facebook,POST00032,text,2024-01-02 08:00:00,46,5,3,2,3,17,7880,4248,4844,69708,45-54,Nigeria,tablet,Holiday Promo,56.14,True,Collection suffer most manager end single couple letter.,"#story, #through",True,4.6,54,0.012711864406779662,0.004001883239171375,0.058823529411764705
Instagram,POST00033,image,2024-01-02 09:00:00,52,5,6,2,3,15,6593,14794,8303,69389,35-44,Germany,desktop,Brand Awareness,468.03,False,Exactly throughout college eight again.,"#amount, #customer",True,67.1,63,0.004258483168852237,0.0010139245640124375,0.06666666666666667
Instagram,POST00034,video,2024-01-02 10:00:00,65,5,4,2,3,19,2846,17457,6204,2445,45-54,Germany,mobile,New Product Launch,262.82,True,Issue responsibility southern rate quickly coach.,"#street, #throw",False,45.2,74,0.004238987225754711,0.0010883886120181016,0.0
Twitter,POST00035,text,2024-01-02 11:00:00,43,10,6,6,4,22,3001,1331,4234,54032,25-34,India,desktop,New Product Launch,217.51,False,Media computer decision better accept.,"#hot, #example",False,126.2,59,0.04432757325319309,0.01652892561983471,0.0
Facebook,POST00036,image,2024-01-02 12:00:00,54,11,6,2,2,23,4722,13005,12946,63076,18-24,Germany,mobile,New Product Launch,243.58,True,Last pull school peace leave.,"#in, #smile",False,136.1,71,0.005459438677431757,0.001768550557477893,0.0
Twitter,POST00037,video,2024-01-02 13:00:00,48,11,5,4,4,12,7928,853,7628,51281,25-34,India,mobile,Holiday Promo,277.4,False,Herself method let food stock door significant discussion.,"#return, #member",False,6.5,64,0.07502930832356389,0.01406799531066823,0.0
Twitter,POST00038,text,2024-01-02 14:00:00,52,2,7,2,3,34,210,3262,775,91864,45-54,UK,desktop,Holiday Promo,53.92,False,Us admit you important arrive technology.,"#how, #hand",False,78.6,61,0.01870018393623544,0.010423053341508276,0.0
LinkedIn,POST00039,text,2024-01-02 15:00:00,49,11,5,0,2,17,5820,17663,12725,52010,55+,Nigeria,mobile,New Product Launch,292.38,True,Test rich husband consider care.,"#traditional, #key",True,169.8,65,0.0036800090584838364,0.0009624639076034649,0.058823529411764705
LinkedIn,POST00040,text,2024-01-02 16:00:00,48,16,6,6,5,24,6314,13947,14479,23131,45-54,Germany,tablet,Holiday Promo,417.11,True,It up claim window right eye.,"#staff, #different",False,56.3,70,0.00501900050190005,0.0017208001720800173,0.0
LinkedIn,POST00041,video,2024-01-02 17:00:00,43,11,4,2,2,25,8404,1308,14553,74741,35-44,UK,tablet,Holiday Promo,280.32,False,Ago Mrs not less assume vote.,"#free, #often",True,35.5,58,0.04434250764525994,0.0191131498470948,0.04
Instagram,POST00042,image,2024-01-02 18:00:00,39,13,8,2,3,26,5615,12856,11508,54735,18-24,Germany,tablet,Brand Awareness,441.52,False,Born fight accept example.,"#view, #new",False,93.8,60,0.004667081518357187,0.0020224019912881146,0.0
Facebook,POST00043,image,2024-01-02 19:00:00,62,14,11,1,5,22,928,3680,8965,37977,25-34,Nigeria,mobile,Brand Awareness,69.12,False,Base serve quite foot our home.,"#turn, #ahead",True,81.2,87,0.023641304347826086,0.005978260869565218,0.045454545454545456
